"文件","行数","类别","扩展名","符号数","主要作用"
".vercel/repo.json","12","项目配置",".json","0","该文件属于“项目配置”模块"
"AGENTS.md","27","项目资源",".md","0","该文件属于“项目资源”模块"
"app/api/chat/attachments/route.ts","158","Next.js API入口",".ts","14","该文件属于“Next.js API入口”模块"
"app/api/chat/generated-images/route.ts","44","Next.js API入口",".ts","5","该文件属于“Next.js API入口”模块"
"app/api/chat/route.ts","2753","Next.js API入口",".ts","135","该文件属于“Next.js API入口”模块"
"app/api/debug/routes/route.ts","20","Next.js API入口",".ts","4","该文件属于“Next.js API入口”模块"
"app/api/document-jobs/[id]/route.ts","82","Next.js API入口",".ts","3","该文件属于“Next.js API入口”模块"
"app/api/download/[id]/route.ts","61","Next.js API入口",".ts","5","该文件属于“Next.js API入口”模块"
"app/api/export/route.ts","186","Next.js API入口",".ts","16","该文件属于“Next.js API入口”模块"
"app/api/extension/folders/route.ts","42","Next.js API入口",".ts","6","该文件属于“Next.js API入口”模块"
"app/api/extension/save-paper/route.ts","95","Next.js API入口",".ts","9","该文件属于“Next.js API入口”模块"
"app/api/extension/session/route.ts","62","Next.js API入口",".ts","5","该文件属于“Next.js API入口”模块"
"app/api/extension/upload-paper/route.ts","124","Next.js API入口",".ts","12","该文件属于“Next.js API入口”模块"
"app/api/literature/folders/[id]/route.ts","49","Next.js API入口",".ts","7","该文件属于“Next.js API入口”模块"
"app/api/literature/folders/route.ts","62","Next.js API入口",".ts","8","该文件属于“Next.js API入口”模块"
"app/api/literature/imports/google-scholar/route.ts","80","Next.js API入口",".ts","9","该文件属于“Next.js API入口”模块"
"app/api/literature/library/route.ts","45","Next.js API入口",".ts","8","该文件属于“Next.js API入口”模块"
"app/api/literature/library/upload/route.ts","132","Next.js API入口",".ts","16","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/citation-network/route.ts","32","Next.js API入口",".ts","6","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","54","Next.js API入口",".ts","6","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/figures/extract/route.ts","45","Next.js API入口",".ts","6","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/folders/route.ts","61","Next.js API入口",".ts","9","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/notes/route.ts","35","Next.js API入口",".ts","7","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/pdf/route.ts","80","Next.js API入口",".ts","7","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/pdf/view/route.ts","80","Next.js API入口",".ts","7","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/route.ts","87","Next.js API入口",".ts","10","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/[id]/workspace/route.ts","111","Next.js API入口",".ts","12","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/save/route.ts","136","Next.js API入口",".ts","16","该文件属于“Next.js API入口”模块"
"app/api/literature/papers/upload/route.ts","147","Next.js API入口",".ts","16","该文件属于“Next.js API入口”模块"
"app/api/literature/review/export/route.ts","100","Next.js API入口",".ts","10","该文件属于“Next.js API入口”模块"
"app/api/literature/review/generate/route.ts","134","Next.js API入口",".ts","11","该文件属于“Next.js API入口”模块"
"app/api/literature/route.ts","54","Next.js API入口",".ts","6","该文件属于“Next.js API入口”模块"
"app/api/literature/update/route.ts","119","Next.js API入口",".ts","13","该文件属于“Next.js API入口”模块"
"app/api/presentation/generate/route.ts","48","Next.js API入口",".ts","7","该文件属于“Next.js API入口”模块"
"app/api/translate/docx/route.ts","171","Next.js API入口",".ts","15","该文件属于“Next.js API入口”模块"
"app/auth/page.tsx","17","Next.js页面入口",".tsx","3","该文件属于“Next.js页面入口”模块"
"app/chat/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
